01:29:36.313741  [WARNING ][init_cfg]warning:missed section:server_8
01:29:36.313881  [WARNING ][init_cfg]warning:missed section:server_9
01:29:36.313910  [WARNING ][init_cfg]warning:missed section:server_10
01:29:36.313933  [WARNING ][init_cfg]warning:missed section:server_11
01:29:36.313955  [WARNING ][init_cfg]warning:missed section:server_12
01:29:36.313978  [WARNING ][init_cfg]warning:missed section:server_13
01:29:36.313999  [WARNING ][init_cfg]warning:missed section:server_14
01:29:36.314021  [WARNING ][init_cfg]warning:missed section:server_15
01:29:36.314043  [WARNING ][init_cfg]warning:missed section:server_16
01:29:36.314065  [WARNING ][init_cfg]warning:missed section:server_17
01:29:36.314087  [WARNING ][init_cfg]warning:missed section:server_18
01:29:36.314109  [WARNING ][init_cfg]warning:missed section:server_19
01:29:36.314131  [WARNING ][init_cfg]warning:missed section:server_20
01:29:36.314153  [WARNING ][init_cfg]warning:missed section:server_21
01:29:36.314175  [WARNING ][init_cfg]warning:missed section:server_22
01:29:36.314196  [WARNING ][init_cfg]warning:missed section:server_23
01:29:36.314218  [WARNING ][init_cfg]warning:missed section:server_24
01:29:36.314240  [WARNING ][init_cfg]warning:missed section:server_25
01:29:36.314262  [WARNING ][init_cfg]warning:missed section:server_26
01:29:36.314283  [WARNING ][init_cfg]warning:missed section:server_27
01:29:36.314305  [WARNING ][init_cfg]warning:missed section:server_28
01:29:36.314327  [WARNING ][init_cfg]warning:missed section:server_29
01:29:36.314642  [DEBUG   ][CDefParser::init]==========
01:29:36.395675  [DEBUG   ][CDefParser::init]m_EntityDefMd5 = e5a2d6e9b88cff1622d5b58a25f71496
01:29:36.395767  [INFO    ][world::initNextEntityId]init_id=16777216
01:29:36.395838  [DEBUG   ][CEpollServer::AddFdAndMb]serverName=
01:29:36.395868  [DEBUG   ][CEpollServer::addFdAndMb]fd=4;fd_type=1;addr=;port=8001;authz=0
01:29:36.395882  [DEBUG   ][start_server]:8001,success.
01:29:36.395993  [DEBUG   ][CEpollServer::addFdAndMb]fd=6;fd_type=2;addr=192.168.200.102;port=8002;authz=0
01:29:36.396018  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8002
01:29:36.396056  [DEBUG   ][CEpollServer::addFdAndMb]fd=7;fd_type=2;addr=192.168.200.102;port=8003;authz=0
01:29:36.396074  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8003
01:29:36.396233  [DEBUG   ][CEpollServer::addFdAndMb]fd=8;fd_type=2;addr=192.168.200.102;port=8004;authz=0
01:29:36.396253  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8004
01:29:36.396288  [DEBUG   ][CEpollServer::addFdAndMb]fd=9;fd_type=2;addr=192.168.200.102;port=8005;authz=0
01:29:36.396304  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8005
01:29:36.396335  [DEBUG   ][CEpollServer::addFdAndMb]fd=10;fd_type=2;addr=192.168.200.102;port=8006;authz=0
01:29:36.396351  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8006
01:29:36.396388  [DEBUG   ][CEpollServer::addFdAndMb]fd=11;fd_type=2;addr=192.168.200.102;port=8007;authz=0
01:29:36.396405  [DEBUG   ][try_to_connect_mailbox]server=192.168.200.102;port=8007
01:29:36.396426  [INFO    ][connected_2_mb]mb fd = 6 connected severName = 192.168.200.102, port = 8002,
01:29:36.396450  [INFO    ][connect_2_mb]connect 192.168.200.102:8003 error:111,Connection refused
01:29:36.396464  [DEBUG   ][CEpollServer::removeFd]fd=7;fd_type=2;addr=192.168.200.102;port=8003
01:29:36.396481  [INFO    ][connected_2_mb]mb fd = 8 connected severName = 192.168.200.102, port = 8004,
01:29:36.396496  [INFO    ][connect_2_mb]connect 192.168.200.102:8005 error:111,Connection refused
